



('0.54', ', ', '05/06/2023 16:49:24')
('0.37', ', ', '05/06/2023 16:49:25')
('0.59', ', ', '05/06/2023 16:49:25')
('0.40', ', ', '05/06/2023 16:49:26')
('0.56', ', ', '05/06/2023 16:49:27')
('0.41', ', ', '05/06/2023 16:49:28')
('0.54', ', ', '05/06/2023 16:49:28')
('0.45', ', ', '05/06/2023 16:49:29')
('0.44', ', ', '05/06/2023 16:49:30')
('0.51', ', ', '05/06/2023 16:49:31')
('0.42', ', ', '05/06/2023 16:49:31')
('0.54', ', ', '05/06/2023 16:49:32')
('0.38', ', ', '05/06/2023 16:49:33')
('0.58', ', ', '05/06/2023 16:49:34')
('0.38', ', ', '05/06/2023 16:49:35')
('0.58', ', ', '05/06/2023 16:49:35')
('0.18', ', ', '05/06/2023 16:49:36')
('0.18', ', ', '05/06/2023 16:49:37')
('0.19', ', ', '05/06/2023 16:49:38')
('0.19', ', ', '05/06/2023 16:49:38')
('1.16', ', ', '05/06/2023 16:49:39')
('0.42', ', ', '05/06/2023 16:49:40')
('0.60', ', ', '05/06/2023 16:49:41')
('0.37', ', ', '05/06/2023 16:49:42')
('0.64', ', ', '05/06/2023 16:49:42')
('0.39', ', ', '05/06/2023 16:49:43')
('0.57', ', ', '05/06/2023 16:49:44')
('0.44', ', ', '05/06/2023 16:49:45')
('0.59', ', ', '05/06/2023 16:49:45')
('0.46', ', ', '05/06/2023 16:49:46')
('0.45', ', ', '05/06/2023 16:49:47')
('0.54', ', ', '05/06/2023 16:49:48')
('0.43', ', ', '05/06/2023 16:49:49')
('0.59', ', ', '05/06/2023 16:49:49')
('0.39', ', ', '05/06/2023 16:49:50')
('0.63', ', ', '05/06/2023 16:49:51')
('0.38', ', ', '05/06/2023 16:49:52')
('0.18', ', ', '05/06/2023 16:49:52')
('0.19', ', ', '05/06/2023 16:49:53')
('0.18', ', ', '05/06/2023 16:49:54')
('0.19', ', ', '05/06/2023 16:49:55')
('1.15', ', ', '05/06/2023 16:49:56')
('0.45', ', ', '05/06/2023 16:49:56')
('0.56', ', ', '05/06/2023 16:49:57')
('0.41', ', ', '05/06/2023 16:49:58')
('0.60', ', ', '05/06/2023 16:49:59')
('0.37', ', ', '05/06/2023 16:49:59')
('0.65', ', ', '05/06/2023 16:50:00')
('0.40', ', ', '05/06/2023 16:50:01')
('0.54', ', ', '05/06/2023 16:50:02')
('0.39', ', ', '05/06/2023 16:50:03')
('0.48', ', ', '05/06/2023 16:50:03')
('0.43', ', ', '05/06/2023 16:50:04')
('0.45', ', ', '05/06/2023 16:50:05')
('0.48', ', ', '05/06/2023 16:50:06')
('0.44', ', ', '05/06/2023 16:50:06')
('0.54', ', ', '05/06/2023 16:50:07')
('0.37', ', ', '05/06/2023 16:50:08')
('0.19', ', ', '05/06/2023 16:50:10')
('0.19', ', ', '05/06/2023 16:50:10')
('0.20', ', ', '05/06/2023 16:50:10')
('0.19', ', ', '05/06/2023 16:50:11')
('1.34', ', ', '05/06/2023 16:50:12')
('0.42', ', ', '05/06/2023 16:50:13')
('0.57', ', ', '05/06/2023 16:50:13')
('0.46', ', ', '05/06/2023 16:50:14')
('0.53', ', ', '05/06/2023 16:50:15')
('0.47', ', ', '05/06/2023 16:50:16')
('0.47', ', ', '05/06/2023 16:50:16')
('0.53', ', ', '05/06/2023 16:50:17')
('0.40', ', ', '05/06/2023 16:50:18')
('0.57', ', ', '05/06/2023 16:50:19')
